title,location,link
Special Education Paraprofessional for Marshall County Schools,"K-12 Education Teaching & Instruction, Marshall County, AL",https://jobs.spurstaffing.com/jobs/192513-special-education-paraprofessional-for-marshall-county-schools
Assistant Community Center Supervisor (Point Mallard)-Decatur Municipality,"Public Works, Grounds, Maintenance, Decatur Municipality",https://jobs.spurstaffing.com/jobs/187625-assistant-community-center-supervisor-point-mallard-decatur-municipality
"Special Education Aide SY 2025/2026 Huntsville City Schools- Huntsville, AL","K-12 Education Teaching & Instruction, Huntsville, AL",https://jobs.spurstaffing.com/jobs/183093-special-education-aide-sy-2025-2026-huntsville-city-schools-huntsville-al
SY 25-26 Instructional Aide with Auburn City Schools,"K-12 Education Teaching & Instruction, Auburn, AL",https://jobs.spurstaffing.com/jobs/181700-sy-25-26-instructional-aide-with-auburn-city-schools
SY 25-26 Bullock County Schools Lab Facilitator,"K-12 Education Support Services, Bullock County, AL",https://jobs.spurstaffing.com/jobs/179212-sy-25-26-bullock-county-schools-lab-facilitator
SY 25-26 Substitute Teacher with Life Academy,"K-12 Education Teaching & Instruction, Montgomery, AL",https://jobs.spurstaffing.com/jobs/177843-sy-25-26-substitute-teacher-with-life-academy
Substitute Aide Russellville City Schools  Al,"K-12 Education Teaching & Instruction, Russellville, AL",https://jobs.spurstaffing.com/jobs/177210-substitute-aide-russellville-city-schools-al
Russellville Sub Custodial - Russellville City Schools (AL),"K-12 Education Support Services, Russellville, AL",https://jobs.spurstaffing.com/jobs/177208-russellville-sub-custodial-russellville-city-schools-al
Bilingual Haitian Creole Aide for Albertville City Schools,"K-12 Education Teaching & Instruction, Albertville, AL",https://jobs.spurstaffing.com/jobs/176058-bilingual-haitian-creole-aide-for-albertville-city-schools
Substitute Teachers for Albertville City Schools,"K-12 Education Teaching & Instruction, Albertville, AL",https://jobs.spurstaffing.com/jobs/176035-substitute-teachers-for-albertville-city-schools
Instructional Aide with Auburn City Schools,"K-12 Education Teaching & Instruction, Auburn, AL",https://jobs.spurstaffing.com/jobs/175819-instructional-aide-with-auburn-city-schools
Substitute Aide for Albertville City Schools,"K-12 Education Teaching & Instruction, Albertville, AL",https://jobs.spurstaffing.com/jobs/174506-substitute-aide-for-albertville-city-schools
Substitute Special Education Aide for Albertville City Schools,"K-12 Education Teaching & Instruction, Albertville, AL",https://jobs.spurstaffing.com/jobs/174399-substitute-special-education-aide-for-albertville-city-schools
Instructional Aide with Marion County Schools,"K-12 Education Teaching & Instruction, Marion County, AL",https://jobs.spurstaffing.com/jobs/173046-instructional-aide-with-marion-county-schools
English Learner Facilitator for Bullock County Schools,"K-12 Education Support Services, Bullock County, AL",https://jobs.spurstaffing.com/jobs/172274-english-learner-facilitator-for-bullock-county-schools
Russellville City Schools Substitute Teacher,"K-12 Education Teaching & Instruction, Russellville, AL",https://jobs.spurstaffing.com/jobs/171053-russellville-city-schools-substitute-teacher
Russellville Child Nutrition Program,"K-12 Education Support Services, Russellville, AL",https://jobs.spurstaffing.com/jobs/171045-russellville-child-nutrition-program
Special Education Ongoing Aide for Albertville City Schools,"K-12 Education Teaching & Instruction, Albertville, AL",https://jobs.spurstaffing.com/jobs/170570-special-education-ongoing-aide-for-albertville-city-schools
"School Nutrition Assistant 2025/2026 SY (Marietta, GA)","K-12 Education Support Services, Marietta, GA",https://jobs.spurstaffing.com/jobs/170040-school-nutrition-assistant-2025-2026-sy-marietta-ga
"Marietta - School Nutrition Assistant Substitute SY 2025/2026 (Marietta, GA)","K-12 Education Support Services, Marietta, GA",https://jobs.spurstaffing.com/jobs/170039-marietta-school-nutrition-assistant-substitute-sy-2025-2026-marietta-ga
"General Instructional Aide 2025/2026 SY- Huntsville City Schools, AL","K-12 Education Teaching & Instruction, Huntsville, AL",https://jobs.spurstaffing.com/jobs/169929-general-instructional-aide-2025-2026-sy-huntsville-city-schools-al
"Special Education Aide SY 2025/2026 Huntsville City Schools- Huntsville, AL","K-12 Education Teaching & Instruction, Huntsville, AL",https://jobs.spurstaffing.com/jobs/169741-special-education-aide-sy-2025-2026-huntsville-city-schools-huntsville-al
"Substitute General Aide  SY 2025/2026- Huntsville City Schools, AL","K-12 Education Teaching & Instruction, Huntsville, AL",https://jobs.spurstaffing.com/jobs/169698-substitute-general-aide-sy-2025-2026-huntsville-city-schools-al
"Substitute Pre-K Aide SY 2025/2026-Huntsville City Schools, AL","K-12 Education Teaching & Instruction, Huntsville, AL",https://jobs.spurstaffing.com/jobs/169684-substitute-pre-k-aide-sy-2025-2026-huntsville-city-schools-al
"Substitute SPED Aide 2025/2026 SY- Huntsville City School District, Huntsville, AL","K-12 Education Teaching & Instruction, Huntsville, AL",https://jobs.spurstaffing.com/jobs/169656-substitute-sped-aide-2025-2026-sy-huntsville-city-school-district-huntsville-al
"School Nutrition Worker 2025/2026 SY Griffin-Spalding (Griffin, GA)","K-12 Education Support Services, Griffin-Spalding, GA",https://jobs.spurstaffing.com/jobs/167974-school-nutrition-worker-2025-2026-sy-griffin-spalding-griffin-ga
"Substitute Teacher Long Term SY 2025/2026 Griffin Spalding (Griffin, GA)","K-12 Education Support Services, Griffin-Spalding, GA",https://jobs.spurstaffing.com/jobs/167971-substitute-teacher-long-term-sy-2025-2026-griffin-spalding-griffin-ga
"Teacher Substitute 2025/2026 SY  Griffin Spalding Schools (Griffin, Ga)","K-12 Education Support Services, Griffin-Spalding, GA",https://jobs.spurstaffing.com/jobs/167970-teacher-substitute-2025-2026-sy-griffin-spalding-schools-griffin-ga
Paraprofessional Substitute SY 2025/2026  Griffin Spalding Schools (GA),"K-12 Education Support Services, Griffin-Spalding, GA",https://jobs.spurstaffing.com/jobs/167969-paraprofessional-substitute-sy-2025-2026-griffin-spalding-schools-ga
Special Education Paraprofessional for Hoover City Schools,"K-12 Education Teaching & Instruction, Hoover, AL",https://jobs.spurstaffing.com/jobs/164779-special-education-paraprofessional-for-hoover-city-schools
Christian Montessori School of Lake Norman,"K-12 Education Teaching & Instruction, Christian Montessori School",https://jobs.spurstaffing.com/jobs/156563-christian-montessori-school-of-lake-norman
"Point Mallard & Park Maintenance- Seasonal - Decatur Municipality, Decatur, Al","Public Works, Grounds, Maintenance, Decatur Municipality",https://jobs.spurstaffing.com/jobs/149398-point-mallard-park-maintenance-seasonal-decatur-municipality-decatur-al
"Concession Staff  Point Mallard- Decatur Municipality,( Decatur, AL)","Food Service, Decatur Municipality",https://jobs.spurstaffing.com/jobs/149396-concession-staff-point-mallard-decatur-municipality-decatur-al
"Grill- Food & Beverage Worker Point Mallard Golf Course ,Decatur Municipality (Decatur, Al)","Parks & Recreation, Decatur Municipality",https://jobs.spurstaffing.com/jobs/142571-grill-food-beverage-worker-point-mallard-golf-course-decatur-municipality-decatur-al
Culinary Line Cook/Prep Cook - Rhythm on Monroe,"Food Service, Huntsville, AL",https://jobs.spurstaffing.com/jobs/140890-culinary-line-cook-prep-cook-rhythm-on-monroe
Service Assistant/Barback/Busser - Rhythm on Monroe,"Food Service, Huntsville, AL",https://jobs.spurstaffing.com/jobs/140881-service-assistant-barback-busser-rhythm-on-monroe
Greeter - Rhythm on Monroe,"Food Service, Huntsville, AL",https://jobs.spurstaffing.com/jobs/138371-greeter-rhythm-on-monroe
Customer Success Manager,"Spur Operations, Huntsville",https://jobs.spurstaffing.com/jobs/134601-customer-success-manager
"Server - Rhythm on Monroe Huntsville, Al","Food Service, Huntsville, AL",https://jobs.spurstaffing.com/jobs/128792-server-rhythm-on-monroe-huntsville-al
"Instructional/Special Education Aide SY 2025/2026 Dennis Township School (Cape May Court House, NJ)","K-12 Education Support Services, Dennis Township, NJ",https://jobs.spurstaffing.com/jobs/124293-instructional-special-education-aide-sy-2025-2026-dennis-township-school-cape-may-court-house-nj
"Child Nutrition Worker -SY 2025/2026 Rankin County Schools ( Rankin County, MS)","K-12 Education Support Services, Rankin County, MS",https://jobs.spurstaffing.com/jobs/123074-child-nutrition-worker-sy-2025-2026-rankin-county-schools-rankin-county-ms
"Child Nutrition Worker - 2025/2026 SY  Rouse Elementary - Rankin County  ( Rankin County, MS)","K-12 Education Support Services, Rouse Elementary School, Rankin County, MS",https://jobs.spurstaffing.com/jobs/123073-child-nutrition-worker-2025-2026-sy-rouse-elementary-rankin-county-rankin-county-ms
"Child Nutrition Worker SY 2025/2026 Puckett Elementary School Rankin County( Rankin County, MS)","K-12 Education Support Services, Puckett Elementary School",https://jobs.spurstaffing.com/jobs/123072-child-nutrition-worker-sy-2025-2026-puckett-elementary-school-rankin-county-rankin-county-ms
"Child Nutrition Worker -  Northwest Middle  SY 2025/2026 Rankin County ( Rankin County, MS)","K-12 Education Support Services, Northwest Rankin Middle School",https://jobs.spurstaffing.com/jobs/123070-child-nutrition-worker-northwest-middle-sy-2025-2026-rankin-county-rankin-county-ms
