Job Title,Job URL,Date of Upload,Job Location,Pay rate discription
Substitute Teacher,https://staffez.org/job/7011/,26 December 2024,McMinn County School District,"Position: Substitute Teacher Summary: The Substitute Teacher is an employee of StaffEZ who serves various schools by providing instruction, encouraging students, and positively managing the learning environment. Essential Job Functions (note this is not an exhaustive list of the duties performed for this position): Report to the office upon arrival, check out at end of […]"
CDC Extended Resource Special Education Teacher Grades K-2,https://staffez.org/job/7010/,18 December 2024,Newport City Schools,Position: CDC Extended Resource Special Education Teacher for Grades K-2 Servicing: Newport City Schools Job Summary: The Special Education Teacher provides services as an employee of STAFFEZ serving the Newport City Schools.  Full-time (8-3) or part-time (8-11). A Modified or Comprehensive Special Education endorsement is required.  The position could become a full-time employee with the district. […]
Special Education Teacher,https://staffez.org/job/6998/,15 November 2024,METROPOLITAN NASHVILLE PUBLIC SCHOOLS,"Servicing Metro Nashville Schools Job Summary: Designs and provides specialized instruction to students with moderate to severe/profound cognitive or developmental needs in accordance with federal, state, and district guidelines. Reports to the school principal. Education Requirements: Bachelor's Degree from an accredited institution in a related field required. Master’s degree from an accredited institution in a related […]"
Special Education Teacher: CDC,https://staffez.org/job/7009/,15 November 2024,Sevier County School System,"Position: Special Education Teacher Serving Sevier County Schools Job Summary: The Special Education Teacher provides services as an employee of StaffEZ serving the district of Sevier County Schools. The responsibilities of a special education educator are creating lesson plans, instructing students according to the state standards and in conjunction with their IEPs, collaborating with other […]"
Special Education Teacher,https://staffez.org/job/7008/,13 November 2024,Lincoln County Schools,"Position: Special Education Teacher                   Serving Lincoln County Schools For Flintville School Job Summary: The Special Education Teacher provides services as an employee of StaffEZ serving the district of Lincoln County Schools. The responsibilities of a special education educator are creating lesson plans, instructing students according to the state standards and in conjunction with their IEP’s, […]"
Teacher Substitute,https://staffez.org/job/6937/,28 October 2024,Benton County Schools,"Servicing Benton County School District Summary: The Substitute Teacher provides services as an employee of StaffEZ servicing the district by providing instruction, encouraging the students and managing the learning environment in a positive manner. Essential Job Functions: This is not an exhaustive list of the duties performed for this position.  Report to the office upon arrival, […]"
Food Service,https://staffez.org/job/6913/,28 October 2024,Benton County Schools,"Servicing Benton County Schools Summary: The Food Service Worker provides services as an employee of StaffEZ serving the district by preparing, setting up and serving food in a school building in accordance to school policy, food service policy and State of Tennessee regulations. Essential Job Functions: This not an exhaustive list of the duties performed for this position.  Prepare […]"
Education Assistant,https://staffez.org/job/6918/,28 October 2024,Benton County Schools,Servicing Benton County School District Summary: The position provides services as an employee of StaffEZ supporting the Benton County Schools. Paraprofessionals are specifically limited to performing non-instructional work – assisting and helping with classroom management and parent activities on small group work in class. Essential Job Functions: This is not an exhaustive list of the duties […]
Custodial,https://staffez.org/job/6916/,28 October 2024,Benton County Schools,"Servicing Benton County School District Summary: The Substitute Custodian provides services as an employee of StaffEZ serving the district as part of the custodial team to ensure clean, sanitary, safe, and well-maintained school facilities. Essential Job Functions: This is not an exhaustive list of the duties performed for this position.  Perform all cleaning and sanitizing in […]"
Academic Tutor,https://staffez.org/job/6988/,28 October 2024,Benton County Schools,"Serving Benton County Schools Summary: The Academic Tutor provides services as an employee of StaffEZ supporting the district by providing instruction, encouraging the students and managing the learning environment in a positive manner.   Purpose: To provide a structured tutoring program in Mathematics and English/Language Arts for grades 4-7 in all Benton County Elementary schools […]"
Custodian,https://staffez.org/job/6999/,13 September 2024,Weakley County Schools,"Servicing Weakley County Schools The Day Custodian provides services as an employee of StaffEZ as part of the custodial team to ensure clean, sanitary, safe and well-maintained school facilities. Essential Job Functions: Note: This is not an exhaustive list of the duties performed for this position.  Perform all cleaning and sanitizing in accordance with the district’s […]"
Food Service Substitute,https://staffez.org/job/7004/,11 September 2024,Weakley County Schools,"Serving Weakley County Schools Summary: The Food Service Worker provides services as an employee of STAFFEZ serving the district by preparing, setting up, and serving food in a school building in accordance with school policy, food service policy, and State of Tennessee regulation. Essential Job Functions (note this is not an exhaustive list of the duties […]"
Educational Assistant,https://staffez.org/job/6993/,11 September 2024,Weakley County Schools,"Servicing Weakley County Schools Summary: The StaffEZ Substitute Educational Assistant provides educational support in the classroom environment. Essential Job Functions: Report to the office upon arrival, check-in and out at the start and end of each  day Meet and instruct assigned teacher/students in the locations and at the times specified Follow the assigned schedule for […]"
Substitute Teacher,https://staffez.org/job/6994/,11 September 2024,Weakley County Schools,"Servicing Weakley County Schools Summary: The StaffEZ Substitute Teacher provides educational instruction while ensuring students are physically safe and emotionally cared for in the classroom environment. Essential Job Functions: Report to the office upon arrival, check-in and out at the start and end of each day Meet and instruct assigned classes in the locations and at […]"
High School Teacher,https://staffez.org/job/6995/,6 September 2024,Fayette County Public Schools,"Position: High School Teacher Serving Fayette County Public Schools Job Summary: The High School Teacher provides services as an employee of StaffEZ serving the district of Fayette County Public Schools. The responsibilities of a high school educator are creating lesson plans, differentiating instruction, instructing students according to the state standards, collaborates with other teachers, staff, and […]"
Speech Language Pathlogist,https://staffez.org/job/7002/,6 September 2024,Sevier County School System,"Serving Sevier County Public Schools Job Summary: The Speech Language Pathologist provides services as an employee of STAFFEZ serving Sevier County Public Schools. The responsibilities of a Speech Language Pathologist are to work in cooperation with appropriate district supervisors, teachers, parents, and students, shall be responsible for providing diagnostic and intervention services for students with […]"
